,date,time,code_call,code_put,price_call,price_put,delta_call,delta_put,d2e,k_x,timeleft,gamma,gamma_percentage,vega,theta,rho,iv,k0,r,code_x,cp,k_y,contract_unit,expire_date,atm,expiration_state,code_y,exchange,close
70,2020-01-02,0 days 14:55:00,10002192.SH,10002201.SH,0.1689,0.0177,0.8125,-0.1875,33.0,2.95,5.0,1.5025,0.0463,0.003,-0.0012,0.0031,0.1583,-0.0438,0.0453,10002192.SH,C,2.95,10000.0,2020-02-26,0.0,2.0,510050.SH,,3.082
71,2020-01-02,0 days 14:55:00,10002193.SH,10002202.SH,0.1312,0.0296,0.7275,-0.2725,33.0,3.0,5.0,1.8715,0.0577,0.0038,-0.0013,0.0028,0.1569,-0.027,0.0462,10002193.SH,C,3.0,10000.0,2020-02-26,0.0,2.0,510050.SH,,3.082
72,2020-01-02,0 days 14:55:00,10002194.SH,10002203.SH,0.0724,0.0704,0.5153,-0.4847,33.0,3.1,5.0,2.2217,0.0685,0.0045,-0.0014,0.002,0.1586,0.0058,0.0472,10002194.SH,C,3.1,10000.0,2020-02-26,1.0,2.0,510050.SH,,3.082
73,2020-01-02,0 days 14:55:00,10002195.SH,10002204.SH,0.0363,0.1347,0.3126,-0.6874,33.0,3.2,5.0,1.9015,0.0586,0.004,-0.0012,0.0012,0.1646,0.0376,0.0462,10002195.SH,C,3.2,10000.0,2020-02-26,0.0,2.0,510050.SH,,3.082
74,2020-01-02,0 days 14:55:00,10002196.SH,10002205.SH,0.0181,0.2148,0.1756,-0.8244,33.0,3.3,5.0,1.3126,0.0405,0.0029,-0.0009,0.0007,0.174,0.0683,0.0502,10002196.SH,C,3.3,10000.0,2020-02-26,0.0,2.0,510050.SH,,3.082
75,2020-01-02,0 days 14:55:00,10002197.SH,10002206.SH,0.0093,0.3059,0.0964,-0.9036,33.0,3.4,5.0,0.8107,0.025,0.0019,-0.0006,0.0004,0.1863,0.0982,0.0505,10002197.SH,C,3.4,10000.0,2020-02-26,0.0,2.0,510050.SH,,3.082
76,2020-01-02,0 days 14:55:00,10002207.SH,10002208.SH,0.0009,0.4119,0.0148,-0.9852,14.0,3.5,5.0,0.2144,0.0066,0.0003,-0.0002,0.0,0.2371,0.1272,0.0389,10002207.SH,C,3.5,10000.0,2020-01-22,0.0,1.0,510050.SH,,3.082
77,2020-01-02,0 days 14:55:00,10002209.SH,10002210.SH,0.0049,0.4032,0.053,-0.947,33.0,3.5,5.0,0.479,0.0148,0.0012,-0.0004,0.0002,0.1992,0.1272,0.0465,10002209.SH,C,3.5,10000.0,2020-02-26,0.0,2.0,510050.SH,,3.082
78,2020-01-02,0 days 14:55:00,10002211.SH,10002212.SH,0.0136,0.3978,0.1061,-0.8939,53.0,3.5,5.0,0.6598,0.0203,0.0026,-0.0005,0.0007,0.1936,0.1272,0.0496,10002211.SH,C,3.5,10000.0,2020-03-25,0.0,3.0,510050.SH,,3.082
79,2020-01-02,0 days 14:55:00,10002213.SH,10002214.SH,0.0441,0.3879,0.2166,-0.7834,114.0,3.5,5.0,0.7766,0.0239,0.0062,-0.0006,0.0029,0.1797,0.1272,0.0507,10002213.SH,C,3.5,10000.0,2020-06-24,0.0,4.0,510050.SH,,3.082
80,2020-01-03,0 days 14:55:00,10001909.SH,10001918.SH,0.3969,0.0053,0.9295,-0.0705,52.0,2.706,5.0,0.4645,0.0143,0.0019,-0.0008,0.0052,0.2057,-0.1256,0.0445,10001909.SH,C,2.706,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.068
81,2020-01-03,0 days 14:55:00,10001910.SH,10001919.SH,0.35,0.0079,0.9121,-0.0879,52.0,2.755,5.0,0.5823,0.0179,0.0023,-0.0009,0.0052,0.1937,-0.1076,0.0438,10001910.SH,C,2.755,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.068
82,2020-01-03,0 days 14:55:00,10001911.SH,10001920.SH,0.3127,0.011,0.8876,-0.1124,52.0,2.804,5.0,0.7141,0.0219,0.0027,-0.001,0.0051,0.1892,-0.09,0.0567,10001911.SH,C,2.804,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.068
83,2020-01-03,0 days 14:55:00,10001912.SH,10001921.SH,0.2623,0.0162,0.8556,-0.1444,52.0,2.853,5.0,0.9153,0.0281,0.0032,-0.001,0.005,0.1757,-0.0727,0.0468,10001912.SH,C,2.853,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.068
84,2020-01-03,0 days 14:55:00,10001913.SH,10001922.SH,0.2195,0.024,0.808,-0.192,52.0,2.903,5.0,1.1384,0.0349,0.0039,-0.0011,0.0048,0.1697,-0.0553,0.0459,10001913.SH,C,2.903,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.068
85,2020-01-03,0 days 14:55:00,10001914.SH,10001923.SH,0.1808,0.0345,0.7491,-0.2509,52.0,2.952,5.0,1.3636,0.0418,0.0045,-0.0011,0.0045,0.1652,-0.0385,0.0456,10001914.SH,C,2.952,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.068
86,2020-01-03,0 days 14:55:00,10001915.SH,10001924.SH,0.1175,0.0688,0.597,-0.403,52.0,3.05,5.0,1.6713,0.0513,0.0055,-0.0012,0.0036,0.1638,-0.0059,0.0462,10001915.SH,C,3.05,10163.0,2020-03-25,1.0,3.0,510050.SH,,3.068
87,2020-01-03,0 days 14:55:00,10001916.SH,10001925.SH,0.0715,0.1215,0.4313,-0.5687,52.0,3.149,5.0,1.6744,0.0514,0.0056,-0.0011,0.0027,0.166,0.0261,0.0466,10001916.SH,C,3.149,10163.0,2020-03-25,0.0,3.0,510050.SH,,3.068
